Track Name;Album Name;Artist Name(s);Release Date;Duration (ms);Popularity;Explicit;Added By;Added At;Genres;Record Label;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;genres_clean;text_combined
kita usahakan lagi;Kita Usahakan Lagi;batas senja;11/04/2025;233916.0;77.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:40Z;indonesian pop indonesian indie malay;Sintesa Pro;0.516;0.551;-7.119;0.0254;0.219;0.0341;0.156;0.449;144.812;indonesian pop indonesian indie malay;indonesian pop indonesian indie malay batas senja
antea;Jalaran Sadrah;barasuara;21/06/2024;376751.0;39.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:44Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.427;0.863;-4.3;0.054;0.00665;0.000677;0.2;0.4;133.973;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
etalase;Jalaran Sadrah;barasuara;21/06/2024;259907.0;49.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:44Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.45;0.938;-3.617;0.0601;0.00136;3.26e-05;0.265;0.462;135.966;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
merayakan fana;Jalaran Sadrah;barasuara;21/06/2024;286611.0;47.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:44Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.265;0.822;-4.413;0.0473;0.0153;0.0142;0.343;0.297;171.899;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
habis gelap;Jalaran Sadrah;barasuara;21/06/2024;315249.0;35.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:44Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.571;0.662;-8.52;0.0426;0.0472;0.774;0.123;0.425;146.953;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
fatalis;Jalaran Sadrah;barasuara;21/06/2024;245860.0;39.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:44Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.508;0.804;-4.363;0.0339;0.000173;0.00152;0.349;0.345;130.053;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
biyang;Jalaran Sadrah;barasuara;21/06/2024;310331.0;35.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:44Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.34;0.196;-11.372;0.0301;0.969;0.069;0.124;0.15;104.226;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
hitam dan biru;Jalaran Sadrah;barasuara;21/06/2024;260413.0;50.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:44Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.281;0.838;-4.231;0.0432;0.00784;0.201;0.265;0.359;125.953;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
terbuang dalam waktu;Jalaran Sadrah;barasuara;21/06/2024;281173.0;80.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:44Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.202;0.69;-4.966;0.034;0.0395;0.0219;0.353;0.257;102.193;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
manusia sumarah;Jalaran Sadrah;barasuara;21/06/2024;215486.0;48.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:44Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.415;0.849;-3.466;0.0484;0.00441;4.06e-05;0.123;0.464;91.005;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
nyala suara;Taifun;barasuara;16/10/2015;298331.0;33.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.39;0.796;-5.621;0.0417;4.17e-05;0.79;0.0504;0.475;103.385;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
sendu melagu;Taifun;barasuara;16/10/2015;247582.0;42.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.673;0.703;-7.061;0.032;0.00126;0.434;0.217;0.435;140.965;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
bahas bahasa;Taifun;barasuara;16/10/2015;268854.0;44.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.501;0.654;-6.331;0.0376;0.00901;0.00267;0.184;0.188;137.914;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
hagia;Taifun;barasuara;16/10/2015;166390.0;43.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.476;0.638;-6.416;0.0446;0.000181;0.0129;0.116;0.282;138.009;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
api dan lentera;Taifun;barasuara;16/10/2015;263637.0;48.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.389;0.84;-5.88;0.0442;0.000514;0.0233;0.12;0.39;121.087;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
menunggang badai;Taifun;barasuara;16/10/2015;303085.0;32.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.533;0.876;-5.256;0.0386;0.00577;0.269;0.0907;0.7;94.016;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
tarintih;Taifun;barasuara;16/10/2015;281725.0;33.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.464;0.687;-4.838;0.0296;0.000399;0.00345;0.0869;0.235;140.008;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
mengunci ingatan;Taifun;barasuara;16/10/2015;270978.0;51.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.538;0.896;-5.77;0.0369;0.000169;0.2;0.214;0.276;84.465;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
taifun;Taifun;barasuara;16/10/2015;271644.0;40.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.533;0.458;-5.287;0.0239;0.063;0.083;0.161;0.188;142.099;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
terbuang dalam waktu instrumental;Terbuang Dalam Waktu (Instrumental);barasuara;25/07/2025;279234.0;36.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:52Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.207;0.711;-5.637;0.033;0.00356;0.843;0.276;0.219;103.493;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
terbuang dalam waktu piano instrumental;Terbuang Dalam Waktu (Instrumental);barasuara;25/07/2025;236377.0;32.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:52Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.611;0.272;-16.513;0.0432;0.975;0.922;0.0945;0.177;94.966;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
seribu racun;Pikiran dan Perjalanan;barasuara;08/03/2019;211814.0;37.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.553;0.853;-4.307;0.0367;0.001;0.011;0.115;0.485;126.056;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
pikiran dan perjalanan;Pikiran dan Perjalanan;barasuara;08/03/2019;272305.0;52.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.59;0.911;-5.212;0.0484;0.00528;0.00197;0.232;0.879;86.994;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
guna manusia;Pikiran dan Perjalanan;barasuara;08/03/2019;269152.0;42.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.369;0.877;-5.901;0.0348;0.0172;0.00618;0.173;0.715;128.946;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
pancarona;Pikiran dan Perjalanan;barasuara;08/03/2019;261379.0;64.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.494;0.904;-6.39;0.0446;0.0023;0.397;0.183;0.268;89.973;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
tentukan arah;Pikiran dan Perjalanan;barasuara;08/03/2019;274185.0;32.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.222;0.541;-8.457;0.0368;0.473;0.0214;0.123;0.26;179.932;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
masa mesias mesias;Pikiran dan Perjalanan;barasuara;08/03/2019;189001.0;30.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.372;0.98;-4.63;0.0573;3.44e-05;0.645;0.264;0.681;193.962;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
haluan;Pikiran dan Perjalanan;barasuara;08/03/2019;191704.0;34.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.554;0.87;-6.321;0.0379;0.0291;0.0048;0.0582;0.227;97.475;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
samara;Pikiran dan Perjalanan;barasuara;08/03/2019;223211.0;38.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.59;0.924;-4.194;0.0419;0.00612;0.0038;0.378;0.475;132.0;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
tirai cahaya;Pikiran dan Perjalanan;barasuara;08/03/2019;229259.0;30.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.617;0.841;-4.846;0.0312;0.0195;0.0362;0.291;0.361;110.687;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
pancarona sore;Pancarona (Sore);barasuara;;;;;;;;;0.604;0.684;-6.054;0.0439;0.189;0.0;0.132;0.484;120.985;; barasuara
bangkit dan berlari;Bangkit Dan Berlari;barasuara;08/08/2020;272249.0;34.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:12Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.504;0.777;-5.908;0.0377;0.0314;0.208;0.329;0.238;100.067;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
bangkit dan berlari instrumental;Bangkit Dan Berlari;barasuara;08/08/2020;274055.0;12.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:12Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.57;0.721;-6.847;0.0287;0.00563;0.922;0.333;0.142;100.031;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
merayakan asteriska dan puti;Memainkan Fana;barasuara;16/06/2023;286611.0;26.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:17Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.316;0.84;-5.162;0.0429;0.00206;0.947;0.385;0.333;171.74;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
merayakan iga dan;Memainkan Fana;barasuara;16/06/2023;286611.0;26.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:17Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.305;0.806;-4.574;0.0473;0.0672;0.000969;0.147;0.302;172.158;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
merayakan gerald;Memainkan Fana;barasuara;16/06/2023;286611.0;28.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:17Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.28;0.893;-4.361;0.0584;0.0965;0.00172;0.363;0.455;171.934;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
merayakan marco;Memainkan Fana;barasuara;16/06/2023;286611.0;26.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:17Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.359;0.618;-4.524;0.0322;0.0813;0.00543;0.295;0.282;86.032;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara
pikiran dan perjalanan kusuma version;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.604;0.684;-6.054;0.0439;0.189;0.0;0.132;0.484;120.985;; barasuara
pikiran dan perjalanan marco steffiano remix;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.604;0.684;-6.054;0.0439;0.189;0.0;0.132;0.484;120.985;; barasuara
pikiran dan perjalanan gerald situmorang version;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.604;0.684;-6.054;0.0439;0.189;0.0;0.132;0.484;120.985;; barasuara
pikiran dan perjalanan puti chitara version;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.604;0.684;-6.054;0.0439;0.189;0.0;0.132;0.484;120.985;; barasuara
pikiran dan perjalanan asteriska version;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.604;0.684;-6.054;0.0439;0.189;0.0;0.132;0.484;120.985;; barasuara
pikiran dan perjalanan iga massardi version;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.604;0.684;-6.054;0.0439;0.189;0.0;0.132;0.484;120.985;; barasuara
semua sini;ambiVert;raisa;24/06/2025;280051.0;47.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.37;0.321;-10.473;0.0368;0.926;0.0125;0.109;0.322;68.149;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
berpindah hati;ambiVert;raisa;24/06/2025;233530.0;50.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.294;0.378;-11.03;0.0302;0.824;0.0403;0.101;0.157;71.687;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
pengganti aku;ambiVert;raisa;24/06/2025;238102.0;56.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.613;0.518;-9.062;0.0318;0.77;0.0242;0.0989;0.571;97.991;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
bila;ambiVert;raisa;24/06/2025;256834.0;61.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.282;0.349;-10.213;0.038;0.937;0.00017;0.0853;0.219;173.38;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
ternyata tanpamu cantik;ambiVert;raisa;24/06/2025;207091.0;49.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.451;0.653;-7.026;0.105;0.677;2.11e-05;0.115;0.642;185.777;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
okay not okay;ambiVert;raisa;24/06/2025;209063.0;46.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.408;0.721;-4.944;0.0805;0.508;0.0;0.68;0.615;122.227;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
awal kisah selamanya feat barsena bestandhi;ambiVert;raisa;;;;;;;;;0.604;0.684;-6.054;0.0439;0.189;0.0;0.132;0.484;120.985;; raisa
paling mahir;ambiVert;raisa;24/06/2025;255888.0;55.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.348;0.39;-8.666;0.0263;0.898;0.18;0.109;0.15;157.955;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
waiting;ambiVert;raisa;24/06/2025;194000.0;45.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.335;0.165;-17.302;0.0446;0.964;2.07e-05;0.1;0.163;76.582;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
tetap bukan kamu feat rony parulian;ambiVert;raisa;;;;;;;;;0.604;0.684;-6.054;0.0439;0.189;0.0;0.132;0.484;120.985;; raisa
terserah;ambiVert;raisa;24/06/2025;240473.0;61.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.276;0.315;-7.977;0.0366;0.966;1.09e-05;0.0829;0.411;63.968;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
tak berharap lagi;Tak Berharap Lagi;raisa;14/12/2023;237769.0;60.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:00Z;indonesian pop indonesian indonesian jazz;Juni Records;0.574;0.424;-6.707;0.027;0.78;3.56e-05;0.105;0.354;112.961;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
cinta sederhana;It's Personal;raisa;17/03/2022;203000.0;37.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:09Z;indonesian pop indonesian indonesian jazz;Juni Records;0.298;0.336;-8.292;0.0314;0.871;0.00105;0.0822;0.242;127.215;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
teman biasa;It's Personal;raisa;17/03/2022;247000.0;31.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:09Z;indonesian pop indonesian indonesian jazz;Juni Records;0.578;0.504;-7.626;0.0524;0.438;2.66e-05;0.0586;0.581;164.03;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
